person_id,id,name,character
23433,tm74391,Deems Taylor,Narrator - Narrative Introductions
5910,tm74391,Walt Disney,Mickey Mouse (segment 'The Sorcerer's Apprentice') (voice)
23436,tm74391,Julietta Novis,Soloist (segment 'Ave Maria') (singing voice)
23434,tm74391,Leopold Stokowski,Himself - Conductor of The Philadelphia Orchestra
6134,tm67803,Adriana Caselotti,Snow White (voice) (uncredited)
6141,tm67803,Lucille La Verne,Queen / Witch (voice) (uncredited)
6142,tm67803,Harry Stockwell,Prince (voice) (uncredited)
6135,tm67803,Roy Atwell,Doc (voice) (uncredited)
6139,tm67803,Pinto Colvig,Sleepy / Grumpy / Dopey (hiccups) (voice) (uncredited)
6140,tm67803,Otis Harlan,Happy (voice) (uncredited)
6136,tm67803,Scotty Mattraw,Bashful (voice) (uncredited)
6137,tm67803,Billy Gilbert,Sneezy (voice) (uncredited)
6138,tm67803,Eddie Collins,Dopey / Chipmunk and Squirrel Sneezes (voice) (uncredited)
6144,tm67803,Moroni Olsen,Magic Mirror (voice) (uncredited)
6143,tm67803,Stuart Buchanan,Huntsman (voice) (uncredited)
6145,tm67803,Marion Darlington,Birds (voice) (uncredited)
6146,tm67803,Purv Pullen,Birds (voice) (uncredited)
27198,tm82546,Dickie Jones,Pinocchio / Alexander (voice) (uncredited)
13325,tm82546,Cliff Edwards,Jiminy Cricket (voice) (uncredited)
47767,tm82546,Christian Rub,Geppetto (voice) (uncredited)
97812,tm82546,Evelyn Venable,The Blue Fairy (voice) (uncredited)
49040,tm82546,Walter Catlett,'Honest John' Worthington Foulfellow (voice) (uncredited)
10548,tm82546,Mel Blanc,Gideon (hiccup) (voice) (uncredited)
45704,tm82546,Charles Judels,Stromboli / The Coachman (voice) (uncredited)
97810,tm82546,Frankie Darro,Lampwick (voice) (uncredited)
90204,tm82546,Don Brodie,Carnival Barker (voice) (uncredited)
6143,tm82546,Stuart Buchanan,Carnival Barker (voice) (uncredited)
6145,tm82546,Marion Darlington,Birds (voice) (uncredited)
