person_id,id,name,character,role
23441,tm74391,Paul Satterfield,,DIRECTOR
23442,tm74391,Hamilton Luske,,DIRECTOR
23443,tm74391,Jim Handley,,DIRECTOR
6164,tm74391,Ford Beebe,,DIRECTOR
23444,tm74391,T. Hee,,DIRECTOR
23446,tm74391,Wilfred Jackson,,DIRECTOR
23440,tm74391,William Roberts,,DIRECTOR
13776,tm74391,Ben Sharpsteen,,DIRECTOR
23438,tm74391,James Algar,,DIRECTOR
23437,tm74391,Samuel Armstrong,,DIRECTOR
23445,tm74391,Norman Ferguson,,DIRECTOR
6147,tm74391,David Hand,,DIRECTOR
6147,tm67803,David Hand,,DIRECTOR
23446,tm82546,Wilfred Jackson,,DIRECTOR
13776,tm82546,Ben Sharpsteen,,DIRECTOR
25067,tm82546,Jack Kinney,,DIRECTOR
23440,tm82546,William Roberts,,DIRECTOR
23444,tm82546,T. Hee,,DIRECTOR
23445,tm82546,Norman Ferguson,,DIRECTOR
23442,tm82546,Hamilton Luske,,DIRECTOR
6147,tm79357,David Hand,,DIRECTOR
55434,tm62671,Byron Haskin,,DIRECTOR
23438,tm61729,James Algar,,DIRECTOR
7712,tm61729,Clyde Geronimi,,DIRECTOR
25067,tm61729,Jack Kinney,,DIRECTOR
23446,tm61052,Wilfred Jackson,,DIRECTOR
23442,tm61052,Hamilton Luske,,DIRECTOR
7712,tm61052,Clyde Geronimi,,DIRECTOR
23445,tm87946,Norman Ferguson,,DIRECTOR
25067,tm87946,Jack Kinney,,DIRECTOR
23440,tm87946,William Roberts,,DIRECTOR
23446,tm87946,Wilfred Jackson,,DIRECTOR
23437,tm87946,Samuel Armstrong,,DIRECTOR
13776,tm87946,Ben Sharpsteen,,DIRECTOR
102935,tm4623,Harold Young,,DIRECTOR
23445,tm4623,Norman Ferguson,,DIRECTOR
25067,tm4623,Jack Kinney,,DIRECTOR
7712,tm4623,Clyde Geronimi,,DIRECTOR
23440,tm4623,William Roberts,,DIRECTOR
69969,tm77826,Alfred L. Werker,,DIRECTOR
23442,tm77826,Hamilton Luske,,DIRECTOR
25067,tm89831,Jack Kinney,,DIRECTOR
23442,tm89831,Hamilton Luske,,DIRECTOR
23440,tm89831,William Roberts,,DIRECTOR
598654,tm89831,William Morgan,,DIRECTOR
153911,tm3616,Ub Iwerks,,DIRECTOR
23440,tm77407,William Roberts,,DIRECTOR
23445,tm77407,Norman Ferguson,,DIRECTOR
25067,tm77407,Jack Kinney,,DIRECTOR
23446,tm77407,Wilfred Jackson,,DIRECTOR
23442,tm77407,Hamilton Luske,,DIRECTOR
25067,tm71205,Jack Kinney,,DIRECTOR
23442,tm5822,Hamilton Luske,,DIRECTOR
23446,tm5822,Wilfred Jackson,,DIRECTOR
25067,tm5822,Jack Kinney,,DIRECTOR
7712,tm5822,Clyde Geronimi,,DIRECTOR
6154,tm8579,Dick Rickard,,DIRECTOR
134005,tm134279,Burt Gillett,,DIRECTOR
7712,tm74410,Clyde Geronimi,,DIRECTOR
134005,tm4759,Burt Gillett,,DIRECTOR
153923,tm80290,Edward Ludwig,,DIRECTOR
23438,tm60613,James Algar,,DIRECTOR
134293,tm330224,Jack Cutting,,DIRECTOR
7712,tm330224,Clyde Geronimi,,DIRECTOR
23446,tm137537,Wilfred Jackson,,DIRECTOR
598854,tm63024,Graham Heid,,DIRECTOR
23446,tm63024,Wilfred Jackson,,DIRECTOR
134005,tm100567,Burt Gillett,,DIRECTOR
6147,tm116172,David Hand,,DIRECTOR
23446,tm103817,Wilfred Jackson,,DIRECTOR
25067,tm4822,Jack Kinney,,DIRECTOR
23446,tm116154,Wilfred Jackson,,DIRECTOR
23446,tm4844,Wilfred Jackson,,DIRECTOR
25067,tm71616,Jack Kinney,,DIRECTOR
13776,tm65604,Ben Sharpsteen,,DIRECTOR
133995,tm156870,Jack King,,DIRECTOR
511569,tm74440,Riley Thomson,,DIRECTOR
181427,tm94578,Jack Hannah,,DIRECTOR
23446,tm103794,Wilfred Jackson,,DIRECTOR
