id,title,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts22470,The Muppet Show,Go behind the curtains as Kermit the Frog and his muppet friends struggle to put on a weekly variety show.,1976,TV-G,25,"['comedy', 'family', 'music']",['GB'],5.0,tt0074028,8.4,24278.0,12.640999999999998,8.1
ts30718,Schoolhouse Rock!,"Schoolhouse Rock! is an American interstitial programming series of animated musical educational short films that aired during the Saturday morning children's programming on the U.S. television network ABC. The topics covered included grammar, science, economics, history, mathematics, and civics. The series' original run lasted from 1973 to 1985, and was later revived with both old and new episodes airing from 1993 to 1999. Additional episodes were produced as recently as 2009 for direct-to-video release.",1973,,3,"['animation', 'family']",['US'],7.0,tt0069627,8.2,3905.0,2.987,7.8
ts28051,The Mickey Mouse Club,A variety show featuring a cast of child performers.,1955,TV-PG,31,"['family', 'music', 'comedy', 'drama']",['US'],3.0,tt0047757,7.6,779.0,7.194,5.8
ts24939,Spider-Woman,"When Jessica Drew was bitten by a poisonous spider as a child, her father saved her life by injecting her with an experimental ""spider serum,"" which also granted her superhuman powers. As an adult, Jessica works as editor of Justice Magazine but when trouble arises, Jessica slips away to change into her secret identity of Spider-Woman.",1979,TV-PG,21,"['animation', 'fantasy', 'action', 'family']",['US'],1.0,tt0197911,5.8,790.0,19.081,8.0
ts27944,Spin and Marty,"Spin and Marty is a popular series of television shorts that aired as part of ABC's Mickey Mouse Club show of the mid-1950s produced by Walt Disney. There were three serials in all, set at the Triple R Ranch, a boys' western-style summer camp. The first series of 25 eleven-minute episodes, The Adventures of Spin and Marty, was filmed in 1955. Its popularity led to two sequels – The Further Adventures of Spin and Marty in 1956 and The New Adventures of Spin and Marty in 1957.

It aired as reruns on the Disney Channel until September 9, 2002.

The serials were based on the 1942 novel Marty Markham by Lawrence Edward Watkin. The producer for Disney was Bill Walsh and the screenplay was written by Jackson Gillis. The shows' success led to the Spin and Marty comic books of the late 1950s. The first season's 25 episodes with bonus material were released on DVD by Disney in 2005.",1955,,12,"['western', 'family']",['US'],1.0,tt0047775,8.0,300.0,2.866,8.0
ts20711,The Simpsons,The satiric adventures of a working-class family in the misfit city of Springfield.,1989,TV-14,27,"['animation', 'comedy']",['US'],34.0,tt0096697,8.7,394764.0,516.381,7.9
ts15377,America's Funniest Home Videos,America's Funniest Home Videos is the longest-running primetime entertainment show in ABC history. Each week AFV shines the spotlight on hilarious videos. Fans tune in to witness failures and fiascos and to submit their own mishaps for their chance at stardom.,1989,TV-PG,49,"['family', 'reality', 'comedy']",['US'],32.0,tt0098740,6.2,5356.0,18.117,7.0
ts146,DuckTales,"Scrooge McDuck finds his hands full at home when nephews Huey, Dewey and Louie move to Duckburg. Joined by their loyal pals Launchpad McQuack, Gyro Gearloose and Mrs. Beakley, the DuckTales gang never fails to deliver a wealth of adventure. Get ready for a fortune of fun with DuckTales!",1987,TV-Y7,21,"['scifi', 'animation', 'fantasy', 'comedy', 'family', 'action']",['US'],4.0,tt0092345,8.1,31709.0,33.611,7.6
ts11857,Chip 'n' Dale Rescue Rangers,"Chip and Dale head a small, eccentric group of animal characters who monitor not only the human world, but the animal community as well, solving mysteries wherever they may be. The ""Rescue Rangers"" take the cases that fall through the cracks.",1989,TV-G,23,"['fantasy', 'comedy', 'action', 'scifi', 'animation', 'crime', 'family']",['US'],3.0,tt0096557,7.5,18971.0,34.201,7.6
ts22529,Spider-Man,Spider-Man is an American animated TV series based on the popular Marvel Comics character of the same name.,1981,TV-Y7,22,"['animation', 'action', 'family', 'fantasy', 'scifi']",['US'],1.0,tt0081938,6.9,1510.0,11.863,7.0
ts22521,Spider-Man and His Amazing Friends,"Spider-Man and His Amazing Friends is an American animated television series produced by Marvel Productions starring established Marvel Comics characters Spider-Man and Iceman and an original character, Firestar. As a trio called the Spider-Friends, they fought against various villains.",1981,TV-Y7,25,"['action', 'scifi', 'comedy', 'crime', 'family', 'animation']",['US'],3.0,tt0083481,7.2,3484.0,31.159000000000002,7.5
ts233,Disney's Adventures of the Gummi Bears,"Join the world’s sweetest heroes for high adventure in a mystical land of giants and wizards, ogres and dragons, and wondrous creatures both good and evil. Meet Gruffi, Zummi, Cubbi, Grammi, Tummi, Sunni, and all the legendary Gummis as they laugh, play, foil dastardly plots, and fight for what's right.",1985,TV-G,22,"['animation', 'family', 'fantasy']",['US'],6.0,tt0088528,7.5,10608.0,27.275,7.4
ts22183,TaleSpin,Baloo the Bear stars in an adventurous comedy of love and conflict with his friend Kit Cloudkicker. Rebecca Cunningham and her daughter Molly purchase Baloo's failing company and Baloo must fly transport runs to clear his debt while dodging Don Karnage and his sky pirates.,1990,TV-G,22,"['animation', 'action', 'comedy', 'drama', 'family', 'fantasy']",['US'],1.0,tt0098924,7.6,14663.0,16.358,7.2
ts21039,Star Wars: Droids,An animated television series that features the exploits of R2-D2 and C-3PO. The series takes place between the events depicted in Star Wars Episode III: Revenge of the Sith and Star Wars Episode IV: A New Hope.,1985,TV-Y7,23,"['scifi', 'animation', 'action', 'comedy', 'family']","['CA', 'US']",2.0,tt0088510,5.9,1764.0,7.848,5.0
ts21976,The New Adventures of Winnie the Pooh,An American animated children's television series inspired by A. A. Milne's Winnie-the-Pooh stories.,1988,TV-Y,22,"['comedy', 'family', 'fantasy', 'animation']",['US'],4.0,tt0165052,7.6,4066.0,17.594,7.5
ts28737,Star Wars: Ewoks,The Ewok Wicket and his friends from the Bright Tree Village go on many magical adventures.,1985,TV-G,25,"['scifi', 'action', 'family', 'fantasy', 'animation']","['US', 'CA']",2.0,tt0088515,6.0,1923.0,5.547999999999999,6.3
ts2431,Boy Meets World,"The coming of age events and everyday life-lessons of Cory Matthews, a Philadelphian who grows up from a young boy to a married man.",1993,TV-G,23,"['comedy', 'drama', 'family', 'romance']",['US'],7.0,tt0105958,8.0,41639.0,13.800999999999998,8.4
ts21709,Spider-Man,"Bitten by a radioactive spider, Peter Parker develops spider-like superpowers. He uses these to fight crime while trying to balance it with the struggles of his personal life.",1994,TV-Y7,21,"['action', 'family', 'romance', 'crime', 'drama', 'fantasy', 'animation', 'scifi', 'thriller']",['US'],5.0,tt0112175,8.4,30818.0,54.931999999999995,8.3
ts22158,X-Men,"The X-Men are an elite team of mutants, genetically gifted human beings with superpowers, sworn to fight for mutant rights against hostile Government agencies, whilst at the same time protecting mankind from mutant supremacist Magneto who seeks to destroy the human race in return for the atrocities committed against mutant kind.",1992,TV-Y7,22,"['scifi', 'thriller', 'animation', 'action', 'family']",['US'],5.0,tt0103584,8.5,41799.0,47.725,8.2
ts8909,Dinosaurs,"Dinosaurs follows the life of a family of dinosaurs, living in a modern world. They have TV's, fridges, microwaves, and every modern convenience.",1991,TV-G,24,"['scifi', 'family', 'fantasy', 'comedy']",['US'],4.0,tt0101081,7.5,18723.0,32.102,7.8
ts6600,Doug,"Doug Funnie experiences common predicaments while attending school in his new hometown of Bluffington, Virginia.",1991,TV-Y7,24,"['animation', 'comedy', 'drama', 'family', 'fantasy']",['US'],8.0,tt0122815,7.4,18859.0,12.998,7.4
ts21697,Gargoyles,"In Scotland, 994 A.D. Goliath and his clan of gargoyles defend a medieval castle. In present day, David Xanatos buys the castle and moves it to New York City. When the castle is attacked the gargoyles are awakened from a 1000 year curse.",1994,TV-G,22,"['scifi', 'action', 'romance', 'thriller', 'animation', 'drama', 'family', 'fantasy', 'comedy', 'crime']","['JP', 'US']",3.0,tt0108783,8.1,16172.0,20.861,8.2
ts21037,X-Men: Evolution,"Teenagers Cyclops, Jean Grey, Rogue, Nightcrawler, Shadowcat, and Spike fight for a world that fears and hates them.",2000,TV-Y7,22,"['action', 'scifi', 'fantasy', 'romance', 'thriller', 'animation', 'drama']",['US'],4.0,tt0247827,7.8,11779.0,29.331999999999997,8.0
ts21272,Recess,"Six brave fourth-graders at Third Street School make it their mission to protect the other kids on the playground. Despite the rule of King Bob and his minions, who enforce his unwritten laws, T.J, Ashley, Vince, Gus, Gretchen and Mikey seek a rational balance between conformity and individuality.",1997,TV-G,16,"['comedy', 'animation', 'family']",['US'],6.0,tt0126170,7.9,25024.0,31.236,7.8
ts5504,Fantastic Four,"When Reed Richards, Sue and Johnny Storm and pilot Ben Grimm take a premature space flight on a new shuttle, they find themselves massively bombarded with cosmic radiation. Barely managing to re-enter and land safely, the quartet find themselves forever transformed with superpowers. Deciding to use these new powers to help people, they form the Fantastic Four, a superhero team dedicated to the protection of Earth from menaces like the Latverian King Dr. Doom and Galactus, the planet consumer.",1994,TV-Y7,21,"['action', 'animation', 'scifi']",['US'],2.0,tt0187635,6.4,3479.0,16.157,6.6
